6
Stride: 768
nSharedFloats: 40 (= cWarpsPerBlock * 10)
Index: 29, (offset: 0, tid: 29, logStep: 0)
Index: 30, (offset: 0, tid: 30, logStep: 0)
Index: 31, (offset: 0, tid: 31, logStep: 0)
Index: 256, (offset: 0, tid: 256, logStep: 0)
Index: 257, (offset: 0, tid: 257, logStep: 0)
Index: 258, (offset: 0, tid: 258, logStep: 0)
Index: 259, (offset: 0, tid: 259, logStep: 0)
Index: 260, (offset: 0, tid: 260, logStep: 0)
Index: 261, (offset: 0, tid: 261, logStep: 0)
Index: 262, (offset: 0, tid: 262, logStep: 0)
Index: 263, (offset: 0, tid: 263, logStep: 0)
Index: 264, (offset: 0, tid: 264, logStep: 0)
Index: 265, (offset: 0, tid: 265, logStep: 0)
Index: 266, (offset: 0, tid: 266, logStep: 0)
Index: 267, (offset: 0, tid: 267, logStep: 0)
Index: 268, (offset: 0, tid: 268, logStep: 0)
Index: 269, (offset: 0, tid: 269, logStep: 0)
Index: 270, (offset: 0, tid: 270, logStep: 0)
Index: 271, (offset: 0, tid: 271, logStep: 0)
Index: 272, (offset: 0, tid: 272, logStep: 0)
Index: 273, (offset: 0, tid: 273, logStep: 0)
Index: 274, (offset: 0, tid: 274, logStep: 0)
Index: 275, (offset: 0, tid: 275, logStep: 0)
Index: 276, (offset: 0, tid: 276, logStep: 0)
Index: 277, (offset: 0, tid: 277, logStep: 0)
Index: 278, (offset: 0, tid: 278, logStep: 0)
Index: 279, (offset: 0, tid: 279, logStep: 0)
Index: 280, (offset: 0, tid: 280, logStep: 0)
Index: 281, (offset: 0, tid: 281, logStep: 0)
Index: 282, (offset: 0, tid: 282, logStep: 0)
Index: 283, (offset: 0, tid: 283, logStep: 0)
Index: 284, (offset: 0, tid: 284, logStep: 0)
Index: 285, (offset: 0, tid: 285, logStep: 0)
Index: 286, (offset: 0, tid: 286, logStep: 0)
Index: 287, (offset: 0, tid: 287, logStep: 0)
Stride: 1637376
Index: 511
Index: 639
Index: 255
Index: 767
Index: 383
Index: 127
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
shared: 4
